id,wt-Control-1_novel count
novel-miR-1,13
novel-miR-10,45
novel-miR-11,21
novel-miR-12,21
novel-miR-13,45
novel-miR-14,45
novel-miR-15,93
novel-miR-16,3
novel-miR-17,5
novel-miR-18,5
novel-miR-19,2
novel-miR-2,348
novel-miR-20,0
novel-miR-21,3
novel-miR-22,15
novel-miR-23,21
novel-miR-24,245
novel-miR-25,26
novel-miR-26,10
novel-miR-27,1
novel-miR-28,121
novel-miR-29,2
novel-miR-3,3
novel-miR-30,2
novel-miR-31,7
novel-miR-32,1
novel-miR-33,6
novel-miR-34,19
novel-miR-35,6
novel-miR-36,5
novel-miR-37,2
novel-miR-38,1
novel-miR-39,5
novel-miR-4,3
novel-miR-40,0
novel-miR-41,4
novel-miR-42,1
novel-miR-43,2
novel-miR-44,3
novel-miR-45,6
novel-miR-46,81
novel-miR-47,363
novel-miR-48,2
novel-miR-49,4
novel-miR-5,0
novel-miR-50,18
novel-miR-51,5
novel-miR-52,7
novel-miR-53,11
novel-miR-54,12
novel-miR-55,7
novel-miR-56,0
novel-miR-57,0
novel-miR-58,10
novel-miR-59,5
novel-miR-6,8
novel-miR-60,2
novel-miR-61,1
novel-miR-62,4
novel-miR-63,5
novel-miR-64,1
novel-miR-65,1
novel-miR-66,1
novel-miR-67,5
novel-miR-68,9
novel-miR-69,0
novel-miR-7,6
novel-miR-70,2
novel-miR-71,2
novel-miR-72,7
novel-miR-73,0
novel-miR-74,14
novel-miR-75,7
novel-miR-76,3
novel-miR-77,5
novel-miR-8,5
novel-miR-9,10
